Frame numero: 41 | Tiempo total desde el inicio: 2062 milisegundos | Tiempo de procesamiento por cada frame: 30 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.975 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 42 | Tiempo total desde el inicio: 2092 milisegundos | Tiempo de procesamiento por cada frame: 30 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.75 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 43 | Tiempo total desde el inicio: 2129 milisegundos | Tiempo de procesamiento por cada frame: 35 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 15.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 1.38 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 44 | Tiempo total desde el inicio: 2162 milisegundos | Tiempo de procesamiento por cada frame: 33 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.973 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 45 | Tiempo total desde el inicio: 2193 milisegundos | Tiempo de procesamiento por cada frame: 30 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 0.989 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 46 | Tiempo total desde el inicio: 2233 milisegundos | Tiempo de procesamiento por cada frame: 40 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 1 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 4.73 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 47 | Tiempo total desde el inicio: 2275 milisegundos | Tiempo de procesamiento por cada frame: 40 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 6.91 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 48 | Tiempo total desde el inicio: 2305 milisegundos | Tiempo de procesamiento por cada frame: 30 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 1.09 milisegundos | Posprocesamiento: 10 milisegundos |
Frame numero: 49 | Tiempo total desde el inicio: 2338 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 1.25 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 50 | Tiempo total desde el inicio: 2374 milisegundos | Tiempo de procesamiento por cada frame: 36 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 1.39 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 51 | Tiempo total desde el inicio: 2403 milisegundos | Tiempo de procesamiento por cada frame: 28 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 1.2 milisegundos | Posprocesamiento: 9 milisegundos |
Frame numero: 52 | Tiempo total desde el inicio: 2431 milisegundos | Tiempo de procesamiento por cada frame: 27 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 3.98 milisegundos | Posprocesamiento: 8 milisegundos |
Frame numero: 53 | Tiempo total desde el inicio: 2470 milisegundos | Tiempo de procesamiento por cada frame: 38 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 14.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 3.84 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 54 | Tiempo total desde el inicio: 2504 milisegundos | Tiempo de procesamiento por cada frame: 33 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 11.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 4.06 milisegundos | Posprocesamiento: 13 milisegundos |
