Frame numero: 99 | Tiempo total desde el inicio: 8643 milisegundos | Tiempo de procesamiento por cada frame: 210 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 61 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 115 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.836 milisegundos | Posprocesamiento: 25 milisegundos |
Frame numero: 101 | Tiempo total desde el inicio: 8853 milisegundos | Tiempo de procesamiento por cada frame: 209 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 56 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 117 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.878 milisegundos | Posprocesamiento: 28 milisegundos |
Frame numero: 103 | Tiempo total desde el inicio: 9087 milisegundos | Tiempo de procesamiento por cada frame: 234 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 59.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 143 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.741 milisegundos | Posprocesamiento: 23 milisegundos |
Frame numero: 105 | Tiempo total desde el inicio: 9300 milisegundos | Tiempo de procesamiento por cada frame: 212 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 56.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 122 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.461 milisegundos | Posprocesamiento: 25 milisegundos |
Frame numero: 107 | Tiempo total desde el inicio: 9521 milisegundos | Tiempo de procesamiento por cada frame: 202 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 51.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 117 milisegundos | Calculo de contornos: 8 milisegundos | Algoritmo de conteo: 0.028 milisegundos | Posprocesamiento: 25 milisegundos |
Frame numero: 109 | Tiempo total desde el inicio: 9722 milisegundos | Tiempo de procesamiento por cada frame: 201 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 54.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 118 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.007 milisegundos | Posprocesamiento: 21 milisegundos |
Frame numero: 111 | Tiempo total desde el inicio: 9939 milisegundos | Tiempo de procesamiento por cada frame: 216 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 53.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 136 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.007 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 113 | Tiempo total desde el inicio: 10134 milisegundos | Tiempo de procesamiento por cada frame: 194 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 51.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 113 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 23 milisegundos |
Frame numero: 115 | Tiempo total desde el inicio: 10326 milisegundos | Tiempo de procesamiento por cada frame: 191 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 52.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 115 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 117 | Tiempo total desde el inicio: 10518 milisegundos | Tiempo de procesamiento por cada frame: 191 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 54 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 110 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 119 | Tiempo total desde el inicio: 10705 milisegundos | Tiempo de procesamiento por cada frame: 187 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 51.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 108 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.001 milisegundos | Posprocesamiento: 21 milisegundos |
Frame numero: 121 | Tiempo total desde el inicio: 10900 milisegundos | Tiempo de procesamiento por cada frame: 194 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 53 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 113 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.005 milisegundos | Posprocesamiento: 21 milisegundos |
Frame numero: 123 | Tiempo total desde el inicio: 11091 milisegundos | Tiempo de procesamiento por cada frame: 190 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 57.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 108 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 125 | Tiempo total desde el inicio: 11283 milisegundos | Tiempo de procesamiento por cada frame: 191 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 54.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 110 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 21 milisegundos |
Frame numero: 127 | Tiempo total desde el inicio: 11475 milisegundos | Tiempo de procesamiento por cada frame: 192 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 53.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 114 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 129 | Tiempo total desde el inicio: 11664 milisegundos | Tiempo de procesamiento por cada frame: 188 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 50.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 114 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.006 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 131 | Tiempo total desde el inicio: 11855 milisegundos | Tiempo de procesamiento por cada frame: 190 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 53.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 113 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.005 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 133 | Tiempo total desde el inicio: 12049 milisegundos | Tiempo de procesamiento por cada frame: 194 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 59.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 111 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 135 | Tiempo total desde el inicio: 12242 milisegundos | Tiempo de procesamiento por cada frame: 188 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 55.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 110 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.005 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 137 | Tiempo total desde el inicio: 12430 milisegundos | Tiempo de procesamiento por cada frame: 187 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 49.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 112 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.007 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 139 | Tiempo total desde el inicio: 12623 milisegundos | Tiempo de procesamiento por cada frame: 192 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 56.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 106 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.017 milisegundos | Posprocesamiento: 23 milisegundos |
Frame numero: 141 | Tiempo total desde el inicio: 12811 milisegundos | Tiempo de procesamiento por cada frame: 187 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 53.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 109 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.005 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 143 | Tiempo total desde el inicio: 13003 milisegundos | Tiempo de procesamiento por cada frame: 192 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 61.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 107 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.009 milisegundos | Posprocesamiento: 17 milisegundos |
